,0
0,then
1,you
2,are
3,very
4,quiet
5,you
6,will
7,hear
8,teeny
9,tiny
10,voice
11,say
12,through
13,the
14,grating
15,take
16,down
17,the
18,key
19,this
20,you
21,will
22,find
23,the
24,back
25,you
26,cannot
27,mistake
28,for
29,has
30,the
31,wards
32,put
33,the
34,key
35,the
36,keyhole
37,which
38,fits
39,exactly
40,unlock
41,the
42,door
43,and
44,walk
45,who
46,says
47,that
48,english
49,folk
50,have
51,fairytales
52,their
53,own
54,the
55,present
56,volume
57,contains
58,only
59,selection
60,out
61,some
62,140
63,which
64,have
65,found
66,traces
67,this
68,country
69,probable
70,that
71,many
72,more
73,exist
74,quarter
75,the
76,tales
77,this
78,volume
79,have
80,been
81,collected
82,during
83,the
84,last
85,ten
86,years
87,and
88,some
89,them
90,have
91,not
92,been
93,hitherto
94,published
95,1870
96,was
97,equally
98,said
99,france
100,and
101,italy
102,that
103,they
104,possessed
105,folktales
106,yet
107,within
108,fifteen
109,years
110,from
111,that
112,date
113,over
114,1000
115,tales
116,had
117,been
118,collected
119,each
120,country
121,hoping
122,that
123,the
124,present
125,volume
126,may
127,lead
128,equal
129,activity
130,this
131,country
132,and
133,would
134,earnestly
135,beg
136,any
137,reader
138,this
139,book
140,who
141,knows
142,similar
143,tales
144,communicate
145,them
146,written
147,down
148,they
149,are
150,told
151,care
152,nutt
153,the
154,only
155,reason
156,imagine
157,why
158,such
159,tales
160,have
161,not
162,hitherto
163,been
164,brought
165,light
166,the
167,lamentable
168,gap
169,between
170,the
171,governing
172,and
173,recording
174,classes
175,and
176,the
177,dumb
178,working
179,classes
180,this
181,country—dumb
182,others
183,but
184,eloquent
185,among
186,themselves
187,would
188,unpatriotic
189,task
190,help
191,bridge
192,over
193,this
194,gulf
195,giving
196,common
197,fund
198,nursery
199,literature
200,all
201,classes
202,the
203,english
204,people
205,and
206,any
207,case
208,can
209,harm
210,add
211,the
212,innocent
213,gaiety
214,the
215,nation
216,word
217,two
218,our
219,title
220,seems
221,necessary
222,have
223,called
224,our
225,stories
226,fairy
227,tales
228,though
229,few
230,them
231,speak
232,fairies
233,footnote
234,for
235,some
236,recent
237,views
238,fairies
239,and
240,tales
241,about
242,fairies
243,see
244,notes
245,the
246,same
247,remark
248,applies
249,the
250,collection
251,the
252,brothers
253,grimm
254,and
255,all
256,the
257,other
258,european
259,collections
260,which
261,contain
262,exactly
263,the
264,same
265,classes
266,tales
267,ours
268,yet
269,our
270,stories
271,are
272,what
273,the
274,little
275,ones
276,mean
277,when
278,they
279,clamour
280,for
281,fairy
282,tales
283,and
284,this
285,the
286,only
287,name
288,which
289,they
290,give
291,them
292,one
293,cannot
294,imagine
295,child
296,saying
297,tell
298,folktale
299,nurse
300,another
301,nursery
302,tale
303,please
304,grandma
305,our
306,book
307,intended
308,for
309,the
310,little
311,ones
312,have
313,indicated
314,its
315,contents
316,the
317,name
318,they
319,use
320,the
321,words
322,fairy
323,tales
324,must
325,accordingly
326,taken
327,include
328,tales
329,which
330,occurs
331,something
332,fairy
333,something
334,extraordinary—fairies
335,giants
336,dwarfs
337,speaking
338,animals
339,must
340,taken
341,also
342,cover
343,tales
344,which
345,what
346,extraordinary
347,the
348,stupidity
349,some
350,the
351,actors
352,many
353,the
354,tales
355,this
356,volume
357,similar
358,collections
359,for
360,other
361,european
362,countries
363,are
364,what
365,the
366,folklorists
367,call
368,drolls
369,they
370,serve
371,justify
372,the
373,title
374,merrie
375,england
376,which
377,used
378,given
379,this
380,country
381,ours
382,and
383,indicate
384,unsuspected
385,capacity
386,for
387,fun
388,and
389,humour
390,among
391,the
392,unlettered
393,classes
394,the
395,story
396,tom
397,tit
398,tot
399,which
400,opens
401,our
402,collection
403,unequalled
404,among
405,all
406,other
407,folktales
408,acquainted
409,with
410,for
411,its
412,combined
413,sense
414,humour
415,and
416,dramatic
417,power
418,the
419,first
420,adjective
421,our
422,title
423,also
424,needs
425,similar
426,extension
427,its
428,meaning
429,have
430,acted
431,molières
432,principle
433,and
434,have
435,taken
436,what
437,was
438,good
439,wherever
440,could
441,find
442,thus
443,couple
444,these
445,stories
446,have
447,been
448,found
449,among
450,descendants
451,english
452,immigrants
453,america
454,couple
455,others
456,tell
457,heard
458,them
459,myself
460,youth
461,australia
462,one
463,the
464,best
465,was
466,taken
467,down
468,from
469,the
470,mouth
471,english
472,gipsy
473,have
474,also
475,included
476,some
477,stories
478,that
479,have
480,only
481,been
482,found
483,lowland
484,scotch
485,have
486,felt
487,justified
488,doing
489,this
490,the
491,twentyone
492,folktales
493,contained
494,chambers
495,popular
496,rhymes
497,scotland
498,less
499,than
500,sixteen
501,are
502,also
503,found
504,english
505,form
506,with
507,the
508,folktale
509,with
510,the
511,ballad
512,lowland
513,scotch
514,may
515,regarded
516,simply
517,dialect
518,english
519,and
520,mere
521,chance
522,whether
523,tale
524,extant
525,one
526,other
527,both
528,have
529,also
530,rescued
531,and
532,retold
533,few
534,fairy
535,tales
536,that
537,only
538,exist
539,nowadays
540,the
541,form
542,ballads
543,there
544,are
545,certain
546,indications
547,that
548,the
549,common
550,form
551,the
552,english
553,fairy
554,tale
555,was
556,the
557,cantefable
558,mixture
559,narrative
560,and
561,verse
562,which
563,the
564,most
565,illustrious
566,example
567,literature
568,aucassin
569,nicolette
570,one
571,case
572,have
573,endeavoured
574,retain
575,this
576,form
577,the
578,tale
579,which
580,occurs
581,childe
582,rowland
583,mentioned
584,shakespeare
585,king
586,lear
587,and
588,probably
589,have
590,shown
591,the
592,source
593,miltons
594,comus
595,late
596,they
597,have
598,been
599,collected
600,some
601,dozen
602,the
603,tales
604,can
605,traced
606,back
607,the
608,sixteenth
609,century
610,two
611,them
612,being
613,quoted
614,shakespeare
615,himself
616,the
617,majority
618,instances
619,have
620,had
621,largely
622,rewrite
623,these
624,fairy
625,tales
626,especially
627,those
628,dialect
629,including
630,the
631,lowland
632,scotch
633,footnote
634,perhaps
635,worth
636,remarking
637,that
638,the
639,brothers
640,grimm
641,did
642,the
643,same
644,with
645,their
646,stories
647,dass
648,der
649,ausdruck
650,say
651,they
652,their
653,preface
654,und
655,die
656,ausführung
657,des
658,einzelnen
659,grossentheils
660,von
661,uns
662,herrührt
663,versteht
664,sich
665,von
666,selbst
667,may
668,add
669,that
670,many
671,their
672,stories
673,were
674,taken
675,from
676,printed
677,sources
678,the
679,first
680,volume
681,mrs
682,hunts
683,translation
684,nos
685,are
686,thus
687,derived
688,children
689,and
690,sometimes
691,those
692,larger
693,growth
694,will
695,not
696,read
697,dialect
698,have
699,also
700,had
701,reduce
702,the
703,flatulent
704,phraseology
705,the
706,eighteenthcentury
707,chapbooks
708,and
709,rewrite
710,simpler
711,style
712,the
713,stories
714,only
715,extant
716,literary
717,english
718,have
719,however
720,left
721,few
722,vulgarisms
723,the
724,mouths
725,vulgar
726,people
727,children
728,appreciate
729,the
730,dramatic
731,propriety
732,this
733,much
734,their
735,elders
736,generally
737,speaking
738,has
739,been
740,ambition
741,write
742,good
743,old
744,nurse
745,will
746,speak
747,when
748,she
749,tells
750,fairy
751,tales
752,doubtful
753,success
754,catching
755,the
756,colloquialromantic
757,tone
758,appropriate
759,for
760,such
761,narratives
762,but
763,the
764,thing
765,had
766,done
767,else
768,main
769,object
770,give
771,book
772,english
773,fairy
774,tales
775,which
776,english
777,children
778,will
779,listen
780,would
781,have
782,been
783,unachieved
784,this
785,book
786,meant
787,read
788,aloud
789,and
790,not
791,merely
792,taken
793,the
794,eye
795,few
796,instances
797,have
798,introduced
799,changed
800,incident
801,have
802,never
803,done
804,however
805,without
806,mentioning
807,the
808,fact
809,the
810,notes
811,these
812,have
813,been
814,relegated
815,the
816,obscurity
817,small
818,print
819,and
820,back
821,place
822,while
823,the
824,little
825,ones
826,have
827,been
828,perhaps
829,unnecessarily
830,warned
831,off
832,them
833,they
834,indicate
835,sources
836,and
837,give
838,few
839,references
840,parallels
841,and
842,variants
843,which
844,may
845,interest
846,fellowstudents
847,folklore
848,perhaps
849,not
850,necessary
851,inform
852,readers
853,who
854,are
855,not
856,fellowstudents
857,that
858,the
859,study
860,folktales
861,has
862,pretensions
863,science
864,has
865,its
866,special
867,terminology
868,and
869,its
870,own
871,methods
872,investigation
873,which
874,hoped
875,one
876,these
877,days
878,gain
879,fuller
880,knowledge
881,the
882,workings
883,the
884,popular
885,mind
886,well
887,traces
888,archaic
889,modes
890,thought
891,and
892,custom
893,hope
894,some
895,future
896,occasion
897,treat
898,the
899,subject
900,the
901,english
902,folktale
903,larger
904,scale
905,and
906,with
907,all
908,the
909,necessary
910,paraphernalia
911,prolegomena
912,and
913,excursus
914,shall
915,then
916,course
917,reproduce
918,originals
919,with
920,literal
921,accuracy
922,and
923,have
924,therefore
925,felt
926,the
927,more
928,liberty
929,the
930,present
931,occasion
932,make
933,the
934,necessary
935,deviations
936,from
937,this
938,order
939,make
940,the
941,tales
942,readable
943,for
944,children
945,finally
946,have
947,thank
948,those
949,whose
950,kindness
951,waiving
952,their
953,rights
954,some
955,these
956,stories
957,have
958,been
959,enabled
960,compile
961,this
962,book
963,friends
964,clodd
965,hindes
966,groome
967,and
968,andrew
969,lang
970,have
971,thus
972,yielded
973,some
974,the
975,most
976,attractive
977,stories
978,the
979,following
980,pages
981,the
982,councils
983,the
984,english
985,and
986,the
987,american
988,folklore
989,societies
990,and
991,messrs
992,longmans
993,have
994,also
995,been
996,equally
997,generous
998,nor
999,can
1000,close
1001,these
1002,remarks
1003,without
1004,word
1005,thanks
1006,and
1007,praise
1008,the
1009,artistic
1010,skill
1011,with
1012,which
1013,friend
1014,batten
1015,has
1016,made
1017,the
1018,romance
1019,and
1020,humour
1021,these
1022,stories
1023,live
1024,again
1025,the
1026,brilliant
1027,designs
1028,with
1029,which
1030,has
1031,adorned
1032,these
1033,pages
1034,should
1035,added
1036,that
1037,the
1038,dainty
1039,headpieces
1040,henny
1041,penny
1042,and
1043,fox
1044,are
1045,due
1046,old
1047,friend
1048,henry
1049,ryland
1050,contents
1051,how
1052,get
1053,into
1054,this
1055,book
1056,preface
1057,tom
1058,tit
1059,tot
1060,the
1061,three
1062,sillies
1063,the
1064,rosetree
1065,the
1066,old
1067,woman
1068,and
1069,her
1070,pig
1071,how
1072,jack
1073,went
1074,seek
1075,his
1076,fortune
1077,vinegar
1078,nix
1079,nought
1080,nothing
1081,jack
1082,hannaford
1083,binnorie
1084,mouse
1085,and
1086,mouser
1087,cap
1088,rushes
1089,teenytiny
1090,jack
1091,and
1092,the
1093,beanstalk
1094,the
1095,story
1096,the
1097,three
1098,little
1099,pigs
1100,the
1101,master
1102,and
1103,his
1104,pupil
1105,titty
1106,mouse
1107,and
1108,tatty
1109,mouse
1110,jack
1111,and
1112,his
1113,golden
1114,snuffbox
1115,the
1116,story
1117,the
1118,three
1119,bears
1120,jack
1121,the
1122,giantkiller
1123,hennypenny
1124,childe
1125,rowland
1126,molly
1127,whuppie
1128,the
1129,red
1130,ettin
1131,the
1132,golden
1133,arm
1134,the
1135,history
1136,tom
1137,thumb
1138,fox
1139,lazy
1140,jack
1141,johnnycake
1142,earl
1143,mars
1144,daughter
1145,miacca
1146,whittington
1147,and
1148,his
1149,cat
1150,the
1151,strange
1152,visitor
1153,the
1154,laidly
1155,worm
1156,spindleston
1157,heugh
1158,the
1159,cat
1160,and
1161,the
1162,mouse
1163,the
1164,fish
1165,and
1166,the
1167,ring
1168,the
1169,magpies
1170,nest
1171,kate
1172,crackernuts
1173,the
1174,cauld
1175,lad
1176,hilton
1177,the
1178,ass
1179,the
1180,table
1181,and
1182,the
1183,stick
1184,fairy
1185,ointment
1186,the
1187,well
1188,the
1189,worlds
1190,end
1191,master
1192,all
1193,masters
1194,the
1195,three
1196,heads
1197,the
1198,well
1199,oyezoyezoyez
1200,notes
1201,and
1202,references
1203,once
1204,upon
1205,time
1206,there
1207,was
1208,woman
1209,and
1210,she
1211,baked
1212,five
1213,pies
1214,and
1215,when
1216,they
1217,came
1218,out
1219,the
1220,oven
1221,they
1222,were
1223,that
1224,overbaked
1225,the
1226,crusts
1227,were
1228,too
1229,hard
1230,eat
1231,she
1232,says
1233,her
1234,daughter
1235,darter
1236,says
1237,she
1238,put
1239,you
1240,them
1241,there
1242,pies
1243,the
1244,shelf
1245,and
1246,leave
1247,there
1248,little
1249,and
1250,theyll
1251,come
1252,again
1253,—she
1254,meant
1255,you
1256,know
1257,the
1258,crust
1259,would
1260,get
1261,soft
1262,but
1263,the
1264,girl
1265,she
1266,says
1267,herself
1268,well
1269,theyll
1270,come
1271,again
1272,ill
1273,eat
1274,now
1275,and
1276,she
1277,set
1278,work
1279,and
1280,ate
1281,all
1282,first
1283,and
1284,last
1285,well
1286,come
1287,suppertime
1288,the
1289,woman
1290,said
1291,you
1292,and
1293,get
1294,one
1295,them
1296,there
1297,pies
1298,dare
1299,say
1300,theyve
1301,come
1302,again
1303,now
1304,the
1305,girl
1306,went
1307,and
1308,she
1309,looked
1310,and
1311,there
1312,was
1313,nothing
1314,but
1315,the
1316,dishes
1317,back
1318,she
1319,came
1320,and
1321,says
1322,she
1323,noo
1324,they
1325,aint
1326,come
1327,again
1328,not
1329,one
1330,says
1331,the
1332,mother
1333,not
1334,one
1335,says
1336,she
1337,well
1338,come
1339,again
1340,not
1341,come
1342,again
1343,said
1344,the
1345,woman
1346,ill
1347,have
1348,one
1349,for
1350,supper
1351,but
1352,you
1353,cant
1354,they
1355,aint
1356,come
1357,said
1358,the
1359,girl
1360,but
1361,can
1362,says
1363,she
1364,you
1365,and
1366,bring
1367,the
1368,best
1369,best
1370,worst
1371,says
1372,the
1373,girl
1374,ive
1375,ate
1376,all
1377,and
1378,you
1379,cant
1380,have
1381,one
1382,till
1383,thats
1384,come
1385,again
1386,well
1387,the
1388,woman
1389,she
1390,was
1391,done
1392,and
1393,she
1394,took
1395,her
1396,spinning
1397,the
1398,door
1399,spin
1400,and
1401,she
1402,span
1403,she
1404,sang
1405,the
1406,king
1407,was
1408,coming
1409,down
1410,the
1411,street
1412,and
1413,heard
1414,her
1415,sing
1416,but
1417,what
1418,she
1419,sang
1420,couldnt
1421,hear
1422,stopped
1423,and
1424,said
1425,what
1426,was
1427,that
1428,you
1429,were
1430,singing
1431,good
1432,woman
1433,the
1434,woman
1435,was
1436,ashamed
1437,let
1438,him
1439,hear
1440,what
1441,her
1442,daughter
1443,had
1444,been
1445,doing
1446,she
1447,sang
1448,instead
1449,that
1450,stars
1451,mine
1452,said
1453,the
1454,king
1455,never
1456,heard
1457,tell
1458,any
1459,one
1460,that
1461,could
1462,that
1463,then
1464,said
1465,look
1466,you
1467,here
1468,want
1469,wife
1470,and
1471,ill
1472,marry
1473,your
1474,daughter
1475,but
1476,look
1477,you
1478,here
1479,says
1480,eleven
1481,months
1482,out
1483,the
1484,year
1485,she
1486,shall
1487,have
1488,all
1489,she
1490,likes
1491,eat
1492,and
1493,all
1494,the
1495,gowns
1496,she
1497,likes
1498,get
1499,and
1500,all
1501,the
1502,company
1503,she
1504,likes
1505,keep
1506,but
1507,the
1508,last
1509,month
1510,the
1511,year
1512,shell
1513,have
1514,spin
1515,five
1516,skeins
1517,every
1518,day
1519,and
1520,she
1521,dont
1522,shall
1523,kill
1524,her
1525,all
1526,right
1527,says
1528,the
1529,woman
1530,for
1531,she
1532,thought
1533,what
1534,grand
1535,marriage
1536,that
1537,was
1538,and
1539,for
1540,the
1541,five
1542,skeins
1543,when
1544,the
1545,time
1546,came
1547,thered
1548,plenty
1549,ways
1550,getting
1551,out
1552,and
1553,likeliest
1554,hed
1555,have
1556,forgotten
1557,all
1558,about
1559,well
1560,they
1561,were
1562,married
1563,and
1564,for
1565,eleven
1566,months
1567,the
1568,girl
1569,had
1570,all
1571,she
1572,liked
1573,eat
1574,and
1575,all
1576,the
1577,gowns
1578,she
1579,liked
1580,get
1581,and
1582,all
1583,the
1584,company
1585,she
1586,liked
1587,keep
1588,but
1589,when
1590,the
1591,time
1592,was
1593,getting
1594,over
1595,she
1596,began
1597,think
1598,about
1599,the
1600,skeins
1601,and
1602,wonder
1603,had
1604,mind
1605,but
1606,not
1607,one
1608,word
1609,did
1610,say
1611,about
1612,and
1613,she
1614,thought
1615,hed
1616,wholly
1617,forgotten
1618,however
1619,the
1620,last
1621,day
1622,the
1623,last
1624,month
1625,takes
1626,her
1627,room
1628,shed
1629,never
1630,set
1631,eyes
1632,before
1633,there
1634,was
1635,nothing
1636,but
1637,spinningwheel
1638,and
1639,stool
1640,and
1641,says
1642,now
1643,dear
1644,here
1645,youll
1646,shut
1647,tomorrow
1648,with
1649,some
1650,victuals
1651,and
1652,some
1653,flax
1654,and
1655,you
1656,havent
1657,spun
1658,five
1659,skeins
1660,the
1661,night
1662,your
1663,headll
1664,off
1665,and
1666,away
1667,went
1668,about
1669,his
1670,business
1671,well
1672,she
1673,was
1674,that
1675,frightened
1676,shed
1677,always
1678,been
1679,such
1680,gatless
1681,girl
1682,that
1683,she
1684,didnt
1685,much
1686,know
1687,how
1688,spin
1689,and
1690,what
1691,was
1692,she
1693,tomorrow
1694,with
1695,one
1696,come
1697,nigh
1698,her
1699,help
1700,her
1701,she
1702,sat
1703,down
1704,stool
1705,the
1706,kitchen
1707,and
1708,law
1709,how
1710,she
1711,did
1712,cry
1713,however
1714,all
1715,sudden
1716,she
1717,heard
1718,sort
1719,knocking
1720,low
1721,down
1722,the
1723,door
1724,she
1725,upped
1726,and
1727,oped
1728,and
1729,what
1730,should
1731,she
1732,see
1733,but
1734,small
1735,little
1736,black
1737,thing
1738,with
1739,long
1740,tail
1741,that
1742,looked
1743,her
1744,right
1745,curious
1746,and
1747,that
1748,said
1749,what
1750,are
1751,you
1752,acrying
1753,for
1754,whats
1755,that
1756,you
1757,says
1758,she
1759,never
1760,you
1761,mind
1762,that
1763,said
1764,but
1765,tell
1766,what
1767,youre
1768,acrying
1769,for
1770,that
1771,wont
1772,good
1773,says
1774,she
1775,you
1776,dont
1777,know
1778,that
1779,that
1780,said
1781,and
1782,twirled
1783,thats
1784,tail
1785,round
1786,well
1787,says
1788,she
1789,that
1790,wont
1791,harm
1792,that
1793,dont
1794,good
1795,and
1796,she
1797,upped
1798,and
1799,told
1800,about
1801,the
1802,pies
1803,and
1804,the
1805,skeins
1806,and
1807,everything
1808,this
1809,what
1810,ill
1811,says
1812,the
1813,little
1814,black
1815,thing
1816,ill
1817,come
1818,your
1819,window
1820,every
1821,morning
1822,and
1823,take
1824,the
1825,flax
1826,and
1827,bring
1828,spun
1829,night
1830,whats
1831,your
1832,pay
1833,says
1834,she
1835,that
1836,looked
1837,out
1838,the
1839,corner
1840,thats
1841,eyes
1842,and
1843,that
1844,said
1845,ill
1846,give
1847,you
1848,three
1849,guesses
1850,every
1851,night
1852,guess
1853,name
1854,and
1855,you
1856,havent
1857,guessed
1858,before
1859,the
1860,months
1861,you
1862,shall
1863,mine
1864,well
1865,she
1866,thought
1867,shed
1868,sure
1869,guess
1870,thats
1871,name
1872,before
1873,the
1874,month
1875,was
1876,all
1877,right
1878,says
1879,she
1880,agree
1881,all
1882,right
1883,that
1884,says
1885,and
1886,law
1887,how
1888,that
1889,twirled
1890,thats
1891,tail
1892,well
1893,the
1894,next
1895,day
1896,her
1897,husband
1898,took
1899,her
1900,into
1901,the
1902,room
1903,and
1904,there
1905,was
1906,the
1907,flax
1908,and
