,0,1
0,stay,1
1,despatched,1
2,salute,2
3,waistcoatpockets,1
4,mansion,2
5,scarlet,1
6,morning,11
7,left,6
8,great,16
9,john,1
10,break,2
11,—the,1
12,place,9
13,hearty,1
14,say,7
15,wait,1
16,late,1
17,help,1
18,leaving,1
19,valley,1
20,taking,2
21,keep,1
22,pretty,2
23,pillar,4
24,weary,1
25,eagle,3
26,largest,5
27,lad,1
28,big,3
29,beer,1
30,lost,3
31,danger,1
32,going,12
33,best,5
34,middle,1
35,done,2
36,however,1
37,red,6
38,togetherjack,1
39,manofwar,3
40,behindjack,1
41,leave,3
42,live,1
43,go,27
44,nothing,2
45,soldier,1
46,living,2
47,sheepwalk,1
48,merriment,2
49,witnessed,1
50,day,11
51,immediately,1
52,let,3
53,gotjack,1
54,handing,1
55,sent,3
56,ofthe,1
57,next,2
58,asked,16
59,caught,1
60,book,1
61,quarrelling,1
62,feed,1
63,gentleman,13
64,care,2
65,yes,3
66,sealength,1
67,opened,2
68,make,8
69,truth,1
70,wonderful,1
71,perspiration,1
72,stair,2
73,cook,1
74,became,1
75,drill,1
76,hand,4
77,sleeping,2
78,standing,2
79,reached,1
80,woolly,1
81,could,8
82,tell,6
83,twelve,3
84,three,7
85,farewell,1
86,begun,1
87,first,3
88,mistake,1
89,stable,1
90,deep,1
91,find,1
92,drawingrooms,1
93,spur,1
94,get,11
95,everything,1
96,front,1
97,gopoor,1
98,air,1
99,whatever,1
100,moved,1
101,large,1
102,insideking,1
103,walked,1
104,housewell,1
105,laughing,4
106,forth,1
107,chapel,1
108,mouse,14
109,bed,6
110,nose,1
111,arrived,1
112,journey,5
113,minding,1
114,begin,1
115,mountain,2
116,prayer,2
117,field,2
118,sure,1
119,dressed,1
120,snuffbox,2
121,bang,2
122,mile,1
123,shoulder,2
124,calling,1
125,disappeared,1
126,must,8
127,passed,1
128,son,5
129,parent,1
130,bread,1
131,entertainment,1
132,indeed,1
133,clever,1
134,palace,2
135,shook,2
136,holy,1
137,behind,5
138,arm,1
139,fine,3
140,whistle,1
141,organpipes,1
142,seen,3
143,trudged,1
144,without,1
145,wishing,2
146,look,5
147,saw,2
148,breath,1
149,answered,1
150,meal,1
151,mother,4
152,youngest,1
153,silly,2
154,el,1
155,forest,1
156,agreement,1
157,every,2
158,eat,3
159,ran,3
160,country,2
161,face,2
162,already,1
163,worse,2
164,sight,4
165,call,1
166,power,1
167,shall,7
168,felt,1
169,upstairs,1
170,curse,1
171,drew,2
172,castle,30
173,pocketjack,1
174,turned,1
175,sentry,5
176,pocketing,1
177,thought,1
178,sailing,1
179,saying,1
180,hinder,1
181,maybe,4
182,much,4
183,one,22
184,door,2
185,beginning,1
186,together,1
187,upon,7
188,bass,1
189,vessel,5
190,besides,2
191,stopped,1
192,discord,1
193,receive,1
194,kitchen,1
195,light,1
196,king,34
197,pas,1
198,leaf,1
199,hungry,2
200,valet,2
201,father,10
202,firstkilled,1
203,show,2
204,run,1
205,sooner,1
206,like,3
207,possibly,1
208,looking,1
209,way,6
210,see,19
211,full,4
212,speed,2
213,trouble,1
214,little,43
215,struck,2
216,refused,1
217,work,2
218,said,35
219,eating,1
220,second,1
221,instructed,1
222,thanks,2
223,men,15
224,purposenine,1
225,cursed,1
226,knew,3
227,think,1
228,kingly,1
229,krokro,2
230,mad,2
231,called,4
232,food,1
233,pleased,2
234,cake,7
235,sending,1
236,afterwards,1
237,god,1
238,music,1
239,stretching,1
240,business,1
241,haste,2
242,changing,1
243,dance,2
244,breakfast,2
245,dropped,1
246,disappointed,1
247,golden,9
248,fellow,1
249,good,9
250,another,3
251,sunday,1
252,clerk,1
253,short,1
254,house,1
255,window,2
256,put,7
257,grand,1
258,give,2
259,wear,1
260,went,17
261,third,4
262,well,24
263,wood,2
264,seagrand,1
265,beautiful,4
266,forgot,1
267,wife,4
268,soon,1
269,four,1
270,try,3
271,end,2
272,bottom,1
273,maidservant,2
274,mouth,2
275,gave,2
276,lot,1
277,hospitalityaway,1
278,pulled,1
279,remembered,1
280,take,5
281,tug,1
282,jack,42
283,want,4
284,alsothing,1
285,stolen,1
286,sleepjack,1
287,foolish,1
288,found,5
289,arrive,1
290,word,2
291,motherold,1
292,marriage,2
293,fire,4
294,frog,7
295,priest,1
296,tired,2
297,hopped,2
298,boy,2
299,bird,9
300,used,2
301,saidjack,1
302,—and,1
303,gate,3
304,bringsaway,1
305,sinking,1
306,part,1
307,though,1
308,near,7
309,around,3
310,fowl,2
311,missing,2
312,brother,7
313,order,1
